"human.gene.name","gene.name","human.homology.type","human.gene.order.conservation.score","human.whole.genome.alignment.coverage","human.orthology.confidence..0.low..1.high."
"PIK3R1","Pik3r1","ortholog_one2one",100,100,1
"GOLT1B","Golt1b","ortholog_one2one",100,100,1
"ZNF226","Zfp61","ortholog_one2one",50,78.95,0
"ALG8","Alg8","ortholog_one2one",100,100,1
"CST6","Cst6","ortholog_one2one",100,100,1
"MEIKIN","Meikin","ortholog_one2one",100,99.67,1
"MOK","Mok","ortholog_one2one",100,100,1
"ATOX1","Atox1","ortholog_one2one",100,100,1
"COPS3","Cops3","ortholog_one2one",100,100,1
"TRPC6","Trpc6","ortholog_one2one",100,100,1
"NYAP2","Nyap2","ortholog_one2one",100,100,1
"ZNF652","Zfp652","ortholog_one2one",100,100,1
"EXOSC8","Exosc8","ortholog_one2one",100,100,1
"SGK1","Sgk1","ortholog_one2one",100,100,1
"KIF11","Kif11","ortholog_one2one",100,100,1
"FBXO7","Fbxo7","ortholog_one2one",100,100,1
"PACS1","Pacs1","ortholog_one2one",100,100,1
"PLEC","Plec","ortholog_one2one",100,100,1
"SPAAR","Spaar","ortholog_one2one",100,100,1
"USP44","Usp44","ortholog_one2one",100,100,1
"REX1BD","Rex1bd","ortholog_one2one",100,100,1
"HLA-DOB","H2-Ob","ortholog_one2one",100,100,1
"SNRNP70","Snrnp70","ortholog_one2one",100,100,1
"SKAP2","Skap2","ortholog_one2one",100,100,1
"CEP43","Fgfr1op","ortholog_one2one",25,100,1
"PPP1R3B","Ppp1r3b","ortholog_one2one",75,100,1
"PHOSPHO1","Phospho1","ortholog_one2one",100,100,1
"F2RL2","F2rl2","ortholog_one2one",100,100,1
"SCRT2","Scrt2","ortholog_one2one",100,100,1
"TIAM1","Tiam1","ortholog_one2one",100,100,1
"DMRT3","Dmrt3","ortholog_one2one",100,100,1
"NINJ1","Ninj1","ortholog_one2one",100,100,1
"DYNC2I2","Wdr34","ortholog_one2one",100,100,1
"IQGAP2","Iqgap2","ortholog_one2one",100,100,1
"UBASH3B","Ubash3b","ortholog_one2one",100,100,1
"FAM227B","Fam227b","ortholog_one2one",100,100,1
"EIF1AD","Eif1ad","ortholog_one2one",100,100,1
"ELK3","Elk3","ortholog_one2one",100,100,1
"CAMTA1","Camta1","ortholog_one2one",0,100,1
"CLK4","Clk4","ortholog_one2one",100,100,1
"CD180","Cd180","ortholog_one2one",100,100,1
"EXOSC2","Exosc2","ortholog_one2one",100,100,1
"LUC7L","Luc7l","ortholog_one2one",50,100,1
"TAF6L","Taf6l","ortholog_one2one",75,99.86,1
"CDK17","Cdk17","ortholog_one2one",100,100,1
"GAB2","Gab2","ortholog_one2one",100,100,1
"SLC25A25","Slc25a25","ortholog_one2one",100,100,1
"CRNN","Crnn","ortholog_one2one",75,99.17,1
"TCTEX1D1","Tctex1d1","ortholog_one2one",100,95.43,1
"TMEM161B","Tmem161b","ortholog_one2one",100,95.88,1
"MDGA2","Mdga2","ortholog_one2one",75,100,1
"FGF7","Fgf7","ortholog_one2one",100,100,1
"RSU1","Rsu1","ortholog_one2one",100,100,1
"UIMC1","Uimc1","ortholog_one2one",100,100,1
"TMEM235","Tmem235","ortholog_one2one",100,100,1
"NUP43","Nup43","ortholog_one2one",100,100,1
"SLC10A2","Slc10a2","ortholog_one2one",50,100,1
"MAST4","Mast4","ortholog_one2one",100,99.99,1
"SYTL5","Sytl5","ortholog_one2one",100,100,1
"RPP40","Rpp40","ortholog_one2one",100,100,1
"FBXO17","Fbxo17","ortholog_one2one",100,100,1
"COPS2","Cops2","ortholog_one2one",100,100,1
"RNF6","Rnf6","ortholog_one2one",50,100,1
"SUSD1","Susd1","ortholog_one2one",100,100,1
"KDM5B","Kdm5b","ortholog_one2one",100,99.17,1
"TMEM161A","Tmem161a","ortholog_one2one",100,99.83,1
"EDEM1","Edem1","ortholog_one2one",100,100,1
"SEC14L2","Sec14l2","ortholog_one2one",100,100,1
"ACTN2","Actn2","ortholog_one2one",100,100,1
"LRRC61","Lrrc61","ortholog_one2one",100,100,1
"ABL1","Abl1","ortholog_one2one",100,100,1
"PAK2","Pak2","ortholog_one2one",75,100,1
"SRXN1","Srxn1","ortholog_one2one",100,100,1
"NCKAP1","Nckap1","ortholog_one2one",100,100,1
"ATAD1","Atad1","ortholog_one2one",100,100,1
"RARRES2","Rarres2","ortholog_one2one",100,100,1
"SLC6A7","Slc6a7","ortholog_one2one",100,97.79,1
"ZNF45","Zfp94","ortholog_one2one",25,89.45,1
"SERPINF2","Serpinf2","ortholog_one2one",100,100,1
"SV2A","Sv2a","ortholog_one2one",100,100,1
"LAMA3","Lama3","ortholog_one2one",100,100,1
"IDI1","Idi1","ortholog_one2one",75,95.34,1
"ASH2L","Ash2l","ortholog_one2one",50,100,1
"OR4F15","Olfr1309","ortholog_one2one",50,100,1
"TFRC","Tfrc","ortholog_one2one",100,100,1
"MGST3","Mgst3","ortholog_one2one",100,100,1
"FLG2","Flg2","ortholog_one2one",75,82.97,0
"PSMA6","Psma6","ortholog_one2one",100,100,1
"UTS2","Uts2","ortholog_one2one",100,92.36,0
"NFIB","Nfib","ortholog_one2one",100,100,1
"CNN1","Cnn1","ortholog_one2one",100,100,1
"MYO18B","Myo18b","ortholog_one2one",100,100,1
"CEP128","Cep128","ortholog_one2one",100,100,1
"TNN","Tnn","ortholog_one2one",100,96.03,1
"PER3","Per3","ortholog_one2one",50,100,1
"TCF15","Tcf15","ortholog_one2one",100,100,1
"ABCC3","Abcc3","ortholog_one2one",100,100,1
"RBM33","Rbm33","ortholog_one2one",100,100,1
"PPP1R3A","Ppp1r3a","ortholog_one2one",100,100,1
"TTC26","Ttc26","ortholog_one2one",100,100,1
"MINDY3","Mindy3","ortholog_one2one",50,100,1
"WDR77","Wdr77","ortholog_one2one",100,100,1
"NRCAM","Nrcam","ortholog_one2one",50,100,1
"DDHD2","Ddhd2","ortholog_one2one",100,100,1
"NCOA1","Ncoa1","ortholog_one2one",100,100,1
"FBXL19","Fbxl19","ortholog_one2one",100,100,1
"SCPEP1","Scpep1","ortholog_one2one",100,100,1
"NCEH1","Nceh1","ortholog_one2one",100,100,1
"IL23A","Il23a","ortholog_one2one",100,100,1
"MRPS25","Mrps25","ortholog_one2one",75,100,1
"SNRPB","Snrpb","ortholog_one2one",100,100,1
"TLK1","Tlk1","ortholog_one2one",100,98.95,1
"CTIF","Ctif","ortholog_one2one",100,100,1
"NR2C2","Nr2c2","ortholog_one2one",100,100,1
"C19orf25","2310011J03Rik","ortholog_one2one",100,100,0
"CAVIN1","Cavin1","ortholog_one2one",100,100,1
"LRATD2","Lratd2","ortholog_one2one",75,100,1
"NUDT19","Nudt19","ortholog_one2one",100,100,1
"APC2","Apc2","ortholog_one2one",100,100,1
"CCDC82","Ccdc82","ortholog_one2one",100,100,1
"ATP13A2","Atp13a2","ortholog_one2one",100,100,1
"XPOT","Xpot","ortholog_one2one",100,100,1
"NAIF1","Naif1","ortholog_one2one",100,100,1
"SOCS3","Socs3","ortholog_one2one",100,100,1
"DOK3","Dok3","ortholog_one2one",100,100,1
"PDCD10","Pdcd10","ortholog_one2one",100,100,1
"SFXN5","Sfxn5","ortholog_one2one",50,100,1
"PRKAA2","Prkaa2","ortholog_one2one",100,100,1
"ASPHD1","Asphd1","ortholog_one2one",100,100,1
"OVGP1","Ovgp1","ortholog_one2one",100,95.97,1
"ARL6IP4","Arl6ip4","ortholog_one2one",100,100,0
"TSEN54","Tsen54","ortholog_one2one",100,100,1
"CDK18","Cdk18","ortholog_one2one",100,100,1
"GALK2","Galk2","ortholog_one2one",100,100,1
"LRRC4B","Lrrc4b","ortholog_one2one",100,100,1
"H2AC21","H2ac21","ortholog_one2one",50,100,1
"KCTD13","Kctd13","ortholog_one2one",100,100,1
"SIGLEC15","Siglec15","ortholog_one2one",100,100,1
"BAG4","Bag4","ortholog_one2one",100,100,1
"BOLA1","Bola1","ortholog_one2one",75,100,1
"CAD","Cad","ortholog_one2one",100,100,1
"ASAP1","Asap1","ortholog_one2one",100,100,1
"ZAR1","Zar1","ortholog_one2one",25,5.9,0
"ACTB","Actb","ortholog_one2one",100,100,1
"SEZ6L2","Sez6l2","ortholog_one2one",100,100,1
"SHTN1","Shtn1","ortholog_one2one",100,100,1
"LAMTOR4","Lamtor4","ortholog_one2one",100,100,1
"SLC16A11","Slc16a11","ortholog_one2one",100,100,1
"KIF20A","Kif20a","ortholog_one2one",100,100,1
"OR4F6","Olfr1310","ortholog_one2one",50,100,1
"RGS9BP","Rgs9bp","ortholog_one2one",100,100,1
"ATP5PB","Atp5pb","ortholog_one2one",100,100,1
"PINK1","Pink1","ortholog_one2one",100,100,1
"ZBTB7C","Zbtb7c","ortholog_one2one",100,100,1
"TFAP2A","Tfap2a","ortholog_one2one",100,100,1
"ZNF394","Zkscan14","ortholog_one2one",100,98.8,1
"WIPF1","Wipf1","ortholog_one2one",100,100,1
"PHLPP1","Phlpp1","ortholog_one2one",100,99.68,1
"LYAR","Lyar","ortholog_one2one",100,100,1
"DCAF13","Dcaf13","ortholog_one2one",100,100,1
"MTHFD1","Mthfd1","ortholog_one2one",75,100,1
"RAB29","Rab29","ortholog_one2one",100,100,1
"PGS1","Pgs1","ortholog_one2one",100,100,1
"RAB11FIP5","Rab11fip5","ortholog_one2one",100,99.69,1
"FMNL1","Fmnl1","ortholog_one2one",100,100,1
"TSG101","Tsg101","ortholog_one2one",100,100,1
"LRRC75A","Lrrc75a","ortholog_one2one",75,100,1
"ORAI3","Orai3","ortholog_one2one",100,100,1
"FKBP8","Fkbp8","ortholog_one2one",100,100,1
"BICD1","Bicd1","ortholog_one2one",50,100,1
"ZKSCAN5","Zkscan5","ortholog_one2one",100,100,1
"LZTS1","Lzts1","ortholog_one2one",50,100,1
"GORASP2","Gorasp2","ortholog_one2one",100,100,1
"SLC14A1","Slc14a1","ortholog_one2one",100,100,1
"CUBN","Cubn","ortholog_one2one",100,100,1
"SLC35F5","Slc35f5","ortholog_one2one",50,100,1
"RUSF1","BC017158","ortholog_one2one",50,100,1
"PROM1","Prom1","ortholog_one2one",100,100,1
"ALCAM","Alcam","ortholog_one2one",100,100,1
"FLG","Flg","ortholog_one2one",100,95.76,0
"LRRC52","Lrrc52","ortholog_one2one",100,100,1
"GATA3","Gata3","ortholog_one2one",100,100,1
"TMEM41B","Tmem41b","ortholog_one2one",100,100,1
"LOXL3","Loxl3","ortholog_one2one",100,100,1
"ADGRB1","Adgrb1","ortholog_one2one",100,99.98,1
"SLC16A3","Slc16a3","ortholog_one2one",100,100,1
"DNAH17","Dnah17","ortholog_one2one",100,99.95,1
"KCNG4","Kcng4","ortholog_one2one",100,100,1
"CDX1","Cdx1","ortholog_one2one",100,100,1
"PLCD3","Plcd3","ortholog_one2one",100,100,1
"KCNA7","Kcna7","ortholog_one2one",100,100,1
"TOP3A","Top3a","ortholog_one2one",100,100,1
"MRPS12","Mrps12","ortholog_one2one",100,100,1
"CDC23","Cdc23","ortholog_one2one",100,100,1
"TNFAIP6","Tnfaip6","ortholog_one2one",100,100,1
"ZBTB7A","Zbtb7a","ortholog_one2one",100,100,1
"CCNQ","Ccnq","ortholog_one2one",0,30.61,0
"FSCN1","Fscn1","ortholog_one2one",75,100,1
"AUP1","Aup1","ortholog_one2one",100,100,1
"CCDC157","Ccdc157","ortholog_one2one",100,100,1
"C8orf34","A830018L16Rik","ortholog_one2one",100,100,1
"IGFBP4","Igfbp4","ortholog_one2one",100,100,1
"CSNK1D","Csnk1d","ortholog_one2one",100,100,1
"NOTO","Noto","ortholog_one2one",100,100,1
"TSPAN1","Tspan1","ortholog_one2one",100,100,1
"DPM3","Dpm3","ortholog_one2one",100,94.23,1
"MAK","Mak","ortholog_one2one",100,100,1
"SLC5A2","Slc5a2","ortholog_one2one",75,100,1
"OPRD1","Oprd1","ortholog_one2one",100,100,1
"KCNIP2","Kcnip2","ortholog_one2one",100,100,1
"CDH3","Cdh3","ortholog_one2one",100,99.79,1
"SDC1","Sdc1","ortholog_one2one",100,100,1
"MSANTD1","Msantd1","ortholog_one2one",100,100,1
"WAPL","Wapl","ortholog_one2one",100,100,1
"KXD1","Kxd1","ortholog_one2one",100,96.11,1
"USP35","Usp35","ortholog_one2one",100,100,1
"COL26A1","Col26a1","ortholog_one2one",100,100,1
"PGR","Pgr","ortholog_one2one",100,100,1
"HTT","Htt","ortholog_one2one",100,100,1
"SERPINI1","Serpini1","ortholog_one2one",75,100,1
"CIT","Cit","ortholog_one2one",100,100,1
"THSD8","Gm49661","ortholog_one2one",100,100,1
"JUNB","Junb","ortholog_one2one",100,100,1
"IL12RB2","Il12rb2","ortholog_one2one",75,100,1
"RNF215","Rnf215","ortholog_one2one",100,100,1
"RNASEH2A","Rnaseh2a","ortholog_one2one",100,100,1
"HTRA2","Htra2","ortholog_one2one",100,100,1
"BRD8","Brd8","ortholog_one2one",100,88.68,1
"MACIR","D1Ertd622e","ortholog_one2one",50,100,1
"LYPD1","Lypd1","ortholog_one2one",50,100,1
"H2BC11","H2bc21","ortholog_one2one",0,0,0
"CCDC117","Ccdc117","ortholog_one2one",50,100,1
"PLAGL1","Plagl1","ortholog_one2one",100,100,0
"SERBP1","Serbp1","ortholog_one2one",100,100,1
"P3H3","P3h3","ortholog_one2one",100,100,1
"GPR39","Gpr39","ortholog_one2one",50,100,1
"NEURL1B","Neurl1b","ortholog_one2one",50,100,1
"IRS1","Irs1","ortholog_one2one",100,100,1
"ESRP1","Esrp1","ortholog_one2one",100,100,1
"TIMELESS","Timeless","ortholog_one2one",100,100,1
"MRPS14","Mrps14","ortholog_one2one",100,100,1
"OPA1","Opa1","ortholog_one2one",100,100,1
"TBC1D23","Tbc1d23","ortholog_one2one",75,100,1
"HDAC5","Hdac5","ortholog_one2one",100,100,1
"HSD3B7","Hsd3b7","ortholog_one2one",100,100,1
"ZNF449","Zfp449","ortholog_one2one",75,100,1
"SCARB1","Scarb1","ortholog_one2one",100,100,1
"CKAP5","Ckap5","ortholog_one2one",100,100,1
"KLHL32","Klhl32","ortholog_one2one",100,100,1
"CUEDC2","Cuedc2","ortholog_one2one",75,100,1
"MAP11","Map11","ortholog_one2one",100,100,1
"FRAT2","Frat2","ortholog_one2one",100,100,1
"FGF3","Fgf3","ortholog_one2one",100,100,1
"ANKRA2","Ankra2","ortholog_one2one",100,100,1
"RXRG","Rxrg","ortholog_one2one",100,100,1
"FGF4","Fgf4","ortholog_one2one",100,100,1
"RRP12","Rrp12","ortholog_one2one",100,100,1
"TAF3","Taf3","ortholog_one2one",100,100,1
"PRDX2","Prdx2","ortholog_one2one",100,100,1
"CDC37","Cdc37","ortholog_one2one",100,100,1
"PATJ","Patj","ortholog_one2one",100,99.95,1
"SLC26A2","Slc26a2","ortholog_one2one",100,100,1
"SALL3","Sall3","ortholog_one2one",100,100,1
"MISP","Misp","ortholog_one2one",100,98.28,1
"ERI1","Eri1","ortholog_one2one",100,100,1
"DMRT2","Dmrt2","ortholog_one2one",100,100,1
"SCG5","Scg5","ortholog_one2one",75,100,1
"LRRN4","Lrrn4","ortholog_one2one",100,99.58,1
"FGF19","Fgf15","ortholog_one2one",100,100,0
"TIGD5","Tigd5","ortholog_one2one",100,100,1
"SNED1","Sned1","ortholog_one2one",100,100,1
"HSDL2","Hsdl2","ortholog_one2one",100,94.67,1
"CTSK","Ctsk","ortholog_one2one",100,100,1
"ANKRD29","Ankrd29","ortholog_one2one",100,100,1
"CCAR1","Ccar1","ortholog_one2one",100,100,1
"ASPDH","Aspdh","ortholog_one2one",100,100,1
"COX6B2","Cox6b2","ortholog_one2one",100,100,1
"SLC50A1","Slc50a1","ortholog_one2one",100,100,1
"FRMD3","Frmd3","ortholog_one2one",0,100,1
"KIRREL1","Kirrel","ortholog_one2one",25,100,1
"CTSS","Ctss","ortholog_one2one",100,100,1
"SERPINB11","Serpinb11","ortholog_one2one",100,100,1
"LYPD5","Lypd5","ortholog_one2one",50,100,1
"TGFA","Tgfa","ortholog_one2one",100,100,1
"TNFSF10","Tnfsf10","ortholog_one2one",100,100,1
"SIM1","Sim1","ortholog_one2one",50,100,1
"PJVK","Pjvk","ortholog_one2one",100,100,1
"POLR2G","Polr2g","ortholog_one2one",100,100,1
"PYCR3","Pycrl","ortholog_one2one",100,100,1
"CNGA1","Cnga1","ortholog_one2one",100,100,1
"GAL3ST4","Gal3st4","ortholog_one2one",100,100,1
"CABIN1","Cabin1","ortholog_one2one",75,100,1
"ZNF839","Zfp839","ortholog_one2one",100,100,0
"TEX35","Tex35","ortholog_one2one",75,93.49,0
"TCHH","Tchh","ortholog_one2one",100,97.9,0
"MCMBP","Mcmbp","ortholog_one2one",100,100,1
"ZBTB3","Zbtb3","ortholog_one2one",100,100,1
"RPTN","Rptn","ortholog_one2one",100,93.13,0
"JAZF1","Jazf1","ortholog_one2one",100,100,1
"PTBP1","Ptbp1","ortholog_one2one",100,99.99,1
"HRNR","Hrnr","ortholog_one2one",100,97.88,0
"ADPRHL1","Adprhl1","ortholog_one2one",100,90.29,0
"FAM126B","Fam126b","ortholog_one2one",100,100,1
"GHSR","Ghsr","ortholog_one2one",100,100,1
"ATP6V1G3","Atp6v1g3","ortholog_one2one",100,100,1
"H4C15","H4c14","ortholog_one2one",0,0,0
"ZNF462","Zfp462","ortholog_one2one",100,100,1
"BCL2","Bcl2","ortholog_one2one",100,100,1
"FAM102A","Fam102a","ortholog_one2one",100,100,1
"CCR6","Ccr6","ortholog_one2one",50,100,1
"FGD2","Fgd2","ortholog_one2one",100,100,1
"CRYBA1","Cryba1","ortholog_one2one",100,100,1
"GALNT11","Galnt11","ortholog_one2one",100,100,1
"KIAA1958","E130308A19Rik","ortholog_one2one",100,100,1
"LTO1","LTO1","ortholog_one2one",100,91.38,0
"SELENOT","Selenot","ortholog_one2one",100,99.44,1
"KCNAB2","Kcnab2","ortholog_one2one",100,100,1
"H2BC18","H2bc18","ortholog_one2one",25,96.56,1
"SARDH","Sardh","ortholog_one2one",100,100,1
"SLC10A1","Slc10a1","ortholog_one2one",100,100,1
"CACYBP","Cacybp","ortholog_one2one",75,100,1
"NUFIP2","Nufip2","ortholog_one2one",100,100,1
"MTERF4","Mterf4","ortholog_one2one",100,97.15,1
"NUDCD1","Nudcd1","ortholog_one2one",100,100,1
"C12orf56","D930020B18Rik","ortholog_one2one",100,100,1
"ENHO","Enho","ortholog_one2one",100,100,1
"SLC25A42","Slc25a42","ortholog_one2one",100,100,1
"PCBP1","Pcbp1","ortholog_one2one",100,100,1
"DNAI1","Dnaic1","ortholog_one2one",100,100,1
"GCM2","Gcm2","ortholog_one2one",100,100,1
"CCND1","Ccnd1","ortholog_one2one",75,100,1
"PPP1R3G","Ppp1r3g","ortholog_one2one",100,100,1
"SLC16A13","Slc16a13","ortholog_one2one",100,100,1
"CDH1","Cdh1","ortholog_one2one",100,100,1
"INIP","Inip","ortholog_one2one",100,100,1
"RTN4","Rtn4","ortholog_one2one",100,100,1
"ZMAT4","Zmat4","ortholog_one2one",100,100,1
"ATG13","Atg13","ortholog_one2one",100,100,1
"LATS1","Lats1","ortholog_one2one",100,100,1
"UNKL","Unkl","ortholog_one2one",100,97.62,1
"PUF60","Puf60","ortholog_one2one",100,100,1
"GMFB","Gmfb","ortholog_one2one",100,100,1
"ABRA","Abra","ortholog_one2one",100,100,1
"ENY2","Eny2","ortholog_one2one",100,100,1
"PRODH2","Prodh2","ortholog_one2one",100,96.51,1
"ZNF287","Zfp287","ortholog_one2one",50,100,1
"ZNF322","Zfp322a","ortholog_one2one",0,100,1
"GRM7","Grm7","ortholog_one2one",100,100,1
"PGAM1","Pgam1","ortholog_one2one",100,100,1
"PDE6A","Pde6a","ortholog_one2one",100,100,1
"HGH1","Hgh1","ortholog_one2one",100,100,1
"NEK7","Nek7","ortholog_one2one",100,100,1
"IWS1","Iws1","ortholog_one2one",100,98.67,1
"ERGIC1","Ergic1","ortholog_one2one",100,100,1
"FAM136A","Fam136a","ortholog_one2one",100,97.79,1
"GPR162","Gpr162","ortholog_one2one",100,100,1
"TMEM80","Tmem80","ortholog_one2one",100,100,0
"INSL5","Insl5","ortholog_one2one",100,100,1
"TENM3","Tenm3","ortholog_one2one",100,100,1
"S100PBP","S100pbp","ortholog_one2one",100,100,1
"FKBP7","Fkbp7","ortholog_one2one",100,100,1
"SERPINB7","Serpinb7","ortholog_one2one",100,100,1
"FOXP2","Foxp2","ortholog_one2one",100,100,1
"PCGF6","Pcgf6","ortholog_one2one",100,100,1
"WDR5","Wdr5","ortholog_one2one",100,100,1
"P3R3URF","1700042G07Rik","ortholog_one2one",100,100,1
"LMX1A","Lmx1a","ortholog_one2one",100,100,1
"PCDH18","Pcdh18","ortholog_one2one",100,100,1
"URB1","Urb1","ortholog_one2one",100,100,1
"PIPOX","Pipox","ortholog_one2one",100,100,1
"ELOF1","Elof1","ortholog_one2one",75,80.34,1
"GTPBP10","Gtpbp10","ortholog_one2one",100,100,1
"MFHAS1","Mfhas1","ortholog_one2one",100,100,1
"ITK","Itk","ortholog_one2one",100,100,1
"PTEN","Pten","ortholog_one2one",100,100,1
"ATP5MD","Atp5md","ortholog_one2one",100,100,1
"EFNA1","Efna1","ortholog_one2one",100,100,1
"CARD19","Card19","ortholog_one2one",100,100,1
"KIDINS220","Kidins220","ortholog_one2one",75,100,1
"TAF5","Taf5","ortholog_one2one",100,100,1
"CD4","Cd4","ortholog_one2one",100,100,1
"GALNTL5","Galntl5","ortholog_one2one",100,100,1
"TNS4","Tns4","ortholog_one2one",100,100,1
"SEC23IP","Sec23ip","ortholog_one2one",100,100,1
"SUGP2","Sugp2","ortholog_one2one",100,100,1
"PGRMC2","Pgrmc2","ortholog_one2one",100,100,1
"SNX30","Snx30","ortholog_one2one",100,100,1
"NIPAL1","Nipal1","ortholog_one2one",75,100,1
"BCL6B","Bcl6b","ortholog_one2one",100,100,1
"ABCA9","Abca9","ortholog_one2one",100,100,1
"SRPX","Srpx","ortholog_one2one",100,100,1
"GRB10","Grb10","ortholog_one2one",100,97.06,1
"EXOSC1","Exosc1","ortholog_one2one",100,100,1
"PBX1","Pbx1","ortholog_one2one",100,100,1
"DYRK2","Dyrk2","ortholog_one2one",75,100,1
"IPO7","Ipo7","ortholog_one2one",100,100,1
"PIP5KL1","Pip5kl1","ortholog_one2one",100,100,1
"NFKBIA","Nfkbia","ortholog_one2one",100,100,1
"UEVLD","Uevld","ortholog_one2one",100,100,1
"MICU1","Micu1","ortholog_one2one",100,100,1
"PRRG4","Prrg4","ortholog_one2one",100,100,1
"PPP1R13B","Ppp1r13b","ortholog_one2one",100,100,1
"KCNU1","Kcnu1","ortholog_one2one",0,69.98,0
"CADPS2","Cadps2","ortholog_one2one",100,100,1
"DUSP1","Dusp1","ortholog_one2one",50,100,1
"FAM237B","Gm8773","ortholog_one2one",100,100,1
"ZMIZ1","Zmiz1","ortholog_one2one",100,100,1
"TTBK2","Ttbk2","ortholog_one2one",100,88.29,1
"TNFRSF14","Tnfrsf14","ortholog_one2one",100,100,0
"HOXA1","Hoxa1","ortholog_one2one",100,100,1
"ARMC6","Armc6","ortholog_one2one",100,98.94,1
"TNNI2","Tnni2","ortholog_one2one",100,100,1
"GSDMA","Gsdma","ortholog_one2one",100,89.27,1
"KDSR","Kdsr","ortholog_one2one",100,100,1
"UBC","Ubc","ortholog_one2one",100,100,1
"TEK","Tek","ortholog_one2one",75,100,1
"CDA","Cda","ortholog_one2one",100,100,1
"NTF4","Ntf5","ortholog_one2one",100,100,1
"DPM2","Dpm2","ortholog_one2one",100,100,0
"ARHGAP32","Arhgap32","ortholog_one2one",100,100,1
"LYVE1","Lyve1","ortholog_one2one",100,100,1
"ZFYVE21","Zfyve21","ortholog_one2one",100,100,1
"GPRC5D","Gprc5d","ortholog_one2one",100,100,1
"ZNF143","Zfp143","ortholog_one2one",100,100,1
"VAX1","Vax1","ortholog_one2one",100,100,1
"RPGR","Rpgr","ortholog_one2one",100,100,0
"MFAP5","Mfap5","ortholog_one2one",75,100,1
"INTS6L","Ints6l","ortholog_one2one",75,100,1
"GALR1","Galr1","ortholog_one2one",100,100,1
"MFAP2","Mfap2","ortholog_one2one",100,100,1
"INSM2","Insm2","ortholog_one2one",100,98.91,1
"SLC46A2","Slc46a2","ortholog_one2one",100,100,1
"TSHR","Tshr","ortholog_one2one",100,100,1
"PRDM16","Prdm16","ortholog_one2one",100,100,1
"COPS9","Cops9","ortholog_one2one",100,85.01,0
"RPL17-C18orf32","Gm6133","ortholog_one2one",0,0,0
"WFDC1","Wfdc1","ortholog_one2one",100,100,1
"SLC14A2","Slc14a2","ortholog_one2one",75,100,1
"SLC28A3","Slc28a3","ortholog_one2one",100,100,1
"PPARGC1B","Ppargc1b","ortholog_one2one",100,100,1
"FAM234B","Fam234b","ortholog_one2one",100,100,1
"FAM43B","Fam43b","ortholog_one2one",100,100,1
"SMARCD2","Smarcd2","ortholog_one2one",100,100,1
"MEN1","Men1","ortholog_one2one",100,100,1
"INHA","Inha","ortholog_one2one",75,100,1
"SERPINB2","Serpinb2","ortholog_one2one",100,100,1
"GRID1","Grid1","ortholog_one2one",100,100,1
"SIRT2","Sirt2","ortholog_one2one",100,100,1
"PSMD3","Psmd3","ortholog_one2one",100,100,1
"COIL","Coil","ortholog_one2one",100,100,1
"SHH","Shh","ortholog_one2one",100,100,1
"CD96","Cd96","ortholog_one2one",100,98.38,1
"RTF1","Rtf1","ortholog_one2one",100,95.88,1
"CDH6","Cdh6","ortholog_one2one",100,100,1
"SERPINB10","Serpinb10","ortholog_one2one",100,100,1
"BRIX1","Brix1","ortholog_one2one",100,100,1
"FAM205C","Fam205c","ortholog_one2one",100,100,0
"GMEB1","Gmeb1","ortholog_one2one",75,100,1
"ADAM15","Adam15","ortholog_one2one",100,100,1
"USP24","Usp24","ortholog_one2one",100,100,1
"ARHGAP11A","Arhgap11a","ortholog_one2one",50,100,1
"MPC1","Mpc1","ortholog_one2one",50,99.52,1
"HEBP1","Hebp1","ortholog_one2one",100,100,1
"COX18","Cox18","ortholog_one2one",100,100,1
"LAIR1","Lair1","ortholog_one2one",100,62.93,0
"RDH12","Rdh12","ortholog_one2one",100,100,1
"FERMT1","Fermt1","ortholog_one2one",100,100,1
"GSG1","Gsg1","ortholog_one2one",100,100,1
"MFSD13A","Mfsd13a","ortholog_one2one",100,100,1
"CCR7","Ccr7","ortholog_one2one",100,100,1
"PLEKHA3","Plekha3","ortholog_one2one",100,99.95,1
"SYMPK","Sympk","ortholog_one2one",100,100,1
"GRK3","Grk3","ortholog_one2one",100,100,1
"IFT22","Ift22","ortholog_one2one",100,100,1
"MUL1","Mul1","ortholog_one2one",100,100,1
"IL11","Il11","ortholog_one2one",100,100,1
"CD164","Cd164","ortholog_one2one",100,100,1
"LAG3","Lag3","ortholog_one2one",100,100,1
"C10orf95","2310034G01Rik","ortholog_one2one",100,99.07,1
"AC008687.4","AC151602.1","ortholog_one2one",100,100,1
"SNRPG","Snrpg","ortholog_one2one",100,84.14,1
"CD8A","Cd8a","ortholog_one2one",100,100,0
"CFP","Cfp","ortholog_one2one",100,100,1
"FNDC3B","Fndc3b","ortholog_one2one",100,100,1
"NUP35","Nup35","ortholog_one2one",100,100,1
"SLC38A6","Slc38a6","ortholog_one2one",100,94.21,1
"TMEM190","Tmem190","ortholog_one2one",100,100,1
"RUVBL2","Ruvbl2","ortholog_one2one",100,100,1
"FCSK","Fcsk","ortholog_one2one",100,99.17,1
"TPP1","Tpp1","ortholog_one2one",100,100,1
"SNX2","Snx2","ortholog_one2one",100,100,1
"TBC1D20","Tbc1d20","ortholog_one2one",100,100,1
"PPP1CA","Ppp1ca","ortholog_one2one",100,100,1
"CLIC1","Clic1","ortholog_one2one",100,100,1
