"gene.name","human.gene.name","human.homology.type","human.gene.order.conservation.score","human.whole.genome.alignment.coverage","human.orthology.confidence..0.low..1.high."
"Guca2b","GUCA2B","ortholog_one2one",75,100,1
"Sipa1l2","SIPA1L2","ortholog_one2one",100,98.97,1
"Rad54l","RAD54L","ortholog_one2one",75,100,1
"Hars","HARS1","ortholog_one2one",100,100,1
"Med27","MED27","ortholog_one2one",100,95.7,1
"Atad2b","ATAD2B","ortholog_one2one",100,98.79,1
"Tfap2b","TFAP2B","ortholog_one2one",100,100,1
"Dhx40","DHX40","ortholog_one2one",100,100,1
"Prune1","PRUNE1","ortholog_one2one",100,97.54,1
"Zfp248","ZNF248","ortholog_one2one",25,100,1
"Fem1c","FEM1C","ortholog_one2one",100,100,1
"Atg9b","ATG9B","ortholog_one2one",100,100,1
"Vcl","VCL","ortholog_one2one",100,100,1
"Mindy1","MINDY1","ortholog_one2one",100,100,1
"Tmeff1","TMEFF1","ortholog_one2one",100,100,1
"Dgka","DGKA","ortholog_one2one",100,100,1
"Rhbdf1","RHBDF1","ortholog_one2one",25,100,1
"Anapc4","ANAPC4","ortholog_one2one",100,100,1
"Tmem8","PGAP6","ortholog_one2one",100,100,1
"Actn1","ACTN1","ortholog_one2one",100,100,1
"Sema3e","SEMA3E","ortholog_one2one",100,100,1
"Tnfrsf21","TNFRSF21","ortholog_one2one",100,100,1
"Nos3","NOS3","ortholog_one2one",50,100,1
"Dll1","DLL1","ortholog_one2one",100,100,1
"Ap3m1","AP3M1","ortholog_one2one",100,100,1
"Zfp202","ZNF202","ortholog_one2one",100,100,1
"Scn9a","SCN9A","ortholog_one2one",100,100,1
"Srpk2","SRPK2","ortholog_one2one",100,100,1
"Fam184a","FAM184A","ortholog_one2one",100,100,1
"Lrrc41","LRRC41","ortholog_one2one",100,100,1
"Ubash3a","UBASH3A","ortholog_one2one",100,98.19,1
"Pcsk2","PCSK2","ortholog_one2one",100,100,1
"Gxylt2","GXYLT2","ortholog_one2one",100,100,1
"Dus4l","DUS4L","ortholog_one2one",75,100,1
"Cldn11","CLDN11","ortholog_one2one",75,100,1
"Gbx1","GBX1","ortholog_one2one",100,100,1
"Ssbp1","SSBP1","ortholog_one2one",100,98.19,1
"Tmem263","TMEM263","ortholog_one2one",100,100,1
"Fam120b","FAM120B","ortholog_one2one",100,99.19,1
"Lrrc45","LRRC45","ortholog_one2one",100,100,1
"Gm11992","C7orf57","ortholog_one2one",100,99.61,1
"Crebbp","CREBBP","ortholog_one2one",100,100,1
"Ndufaf6","NDUFAF6","ortholog_one2one",100,100,1
"Mterf2","MTERF2","ortholog_one2one",100,100,1
"Cers2","CERS2","ortholog_one2one",100,100,1
"Sun3","SUN3","ortholog_one2one",100,100,1
"Chrm2","CHRM2","ortholog_one2one",100,100,1
"Wnt6","WNT6","ortholog_one2one",100,100,1
"Map10","MAP10","ortholog_one2one",100,92.44,0
"Olfr1111","OR5AS1","ortholog_one2one",75,100,1
"Dsc2","DSC2","ortholog_one2one",100,100,1
"Efemp1","EFEMP1","ortholog_one2one",100,100,1
"Lmnb2","LMNB2","ortholog_one2one",100,100,1
"Klhl33","KLHL33","ortholog_one2one",100,100,1
"Thoc1","THOC1","ortholog_one2one",75,100,1
"Insr","INSR","ortholog_one2one",50,100,1
"B3galnt1","B3GALNT1","ortholog_one2one",100,100,1
"Commd2","COMMD2","ortholog_one2one",100,100,1
"Aatk","AATK","ortholog_one2one",100,100,1
"Rictor","RICTOR","ortholog_one2one",100,100,1
"Kalrn","KALRN","ortholog_one2one",100,100,1
"Olfr640","OR51I1","ortholog_one2one",100,100,1
"Adgrf1","ADGRF1","ortholog_one2one",100,100,1
"Atpsckmt","ATPSCKMT","ortholog_one2one",100,100,1
"Strc","STRC","ortholog_one2one",100,99.33,1
"Olfr646","OR52D1","ortholog_one2one",100,100,1
"Zfp438","ZNF438","ortholog_one2one",50,100,1
"Slc16a10","SLC16A10","ortholog_one2one",100,100,1
"Deptor","DEPTOR","ortholog_one2one",100,100,1
"Eif2d","EIF2D","ortholog_one2one",100,100,1
"Nfx1","NFX1","ortholog_one2one",100,100,1
"Cldn6","CLDN6","ortholog_one2one",100,100,1
"Itgax","ITGAX","ortholog_one2one",100,99.71,1
"Olfr641","OR51I2","ortholog_one2one",100,100,1
"Pde1c","PDE1C","ortholog_one2one",100,100,1
"Mapre2","MAPRE2","ortholog_one2one",100,100,1
"Osbp2","OSBP2","ortholog_one2one",100,100,1
"Fbxo10","FBXO10","ortholog_one2one",100,100,1
"Cog5","COG5","ortholog_one2one",100,100,1
"Copz2","COPZ2","ortholog_one2one",100,100,1
"Pygb","PYGB","ortholog_one2one",100,100,1
"Psmg4","PSMG4","ortholog_one2one",100,100,1
"Pkd1l2","PKD1L2","ortholog_one2one",100,100,0
"Pbx4","PBX4","ortholog_one2one",100,100,1
"Setdb1","SETDB1","ortholog_one2one",100,99.45,1
"Tmed7","TMED7","ortholog_one2one",100,100,1
"Fbxo40","FBXO40","ortholog_one2one",100,100,1
"Eif4a2","EIF4A2","ortholog_one2one",75,100,1
"Eif4enif1","EIF4ENIF1","ortholog_one2one",100,100,1
"Gpr22","GPR22","ortholog_one2one",100,100,1
"Cavin4","CAVIN4","ortholog_one2one",100,100,1
"Fbxl5","FBXL5","ortholog_one2one",100,100,1
"Ube2j2","UBE2J2","ortholog_one2one",100,100,1
"Stx3","STX3","ortholog_one2one",100,100,1
"Hbp1","HBP1","ortholog_one2one",75,100,1
"Zfp518a","ZNF518A","ortholog_one2one",100,100,1
"Cldn9","CLDN9","ortholog_one2one",100,100,1
"Foxn1","FOXN1","ortholog_one2one",100,100,1
"Tas2r119","TAS2R1","ortholog_one2one",75,100,0
"Pou5f2","POU5F2","ortholog_one2one",100,100,1
"Fam172a","FAM172A","ortholog_one2one",100,100,1
"1520401A03Rik","LINC00514","ortholog_one2one",75,98.72,0
"Usp14","USP14","ortholog_one2one",50,100,1
"Chit1","CHIT1","ortholog_one2one",100,99.87,1
"Polr1e","POLR1E","ortholog_one2one",100,98.42,1
"Meiob","MEIOB","ortholog_one2one",75,100,1
"Cilp2","CILP2","ortholog_one2one",100,100,1
"Nbeal1","NBEAL1","ortholog_one2one",100,100,1
"Olfr222","OR2B11","ortholog_one2one",50,100,1
"Hebp2","HEBP2","ortholog_one2one",100,100,1
"Katnal2","KATNAL2","ortholog_one2one",100,100,1
"Tanc2","TANC2","ortholog_one2one",100,100,1
"Wif1","WIF1","ortholog_one2one",100,100,1
"1700001O22Rik","C9orf50","ortholog_one2one",100,100,0
"Styxl1","STYXL1","ortholog_one2one",100,93.97,1
"Mterf3","MTERF3","ortholog_one2one",50,100,1
"Ehbp1l1","EHBP1L1","ortholog_one2one",100,96.96,1
"Ndufa4","NDUFA4","ortholog_one2one",100,100,1
"Saxo2","SAXO2","ortholog_one2one",50,100,1
"Clcn6","CLCN6","ortholog_one2one",100,100,1
"Pqlc3","SLC66A3","ortholog_one2one",100,100,1
"Blmh","BLMH","ortholog_one2one",100,100,1
"Asb10","ASB10","ortholog_one2one",100,100,1
"Ntpcr","NTPCR","ortholog_one2one",100,89.51,1
"Trp53inp1","TP53INP1","ortholog_one2one",100,100,1
"Mrpl28","MRPL28","ortholog_one2one",100,100,1
"Best3","BEST3","ortholog_one2one",100,100,1
"Ptdss1","PTDSS1","ortholog_one2one",50,100,1
"Arrdc4","ARRDC4","ortholog_one2one",50,100,1
"Nacad","NACAD","ortholog_one2one",100,99.24,1
"Lhx6","LHX6","ortholog_one2one",100,100,1
"Wrap73","WRAP73","ortholog_one2one",100,100,1
"Tex26","TEX26","ortholog_one2one",100,100,1
"Slc25a40","SLC25A40","ortholog_one2one",100,100,1
"Cpne3","CPNE3","ortholog_one2one",100,100,1
"Tufm","TUFM","ortholog_one2one",100,100,1
"Naaladl1","NAALADL1","ortholog_one2one",100,100,1
"Mrpl4","MRPL4","ortholog_one2one",100,86.99,1
"Vps8","VPS8","ortholog_one2one",100,99.34,1
"Spry4","SPRY4","ortholog_one2one",100,100,1
"Uqcrb","UQCRB","ortholog_one2one",50,18.78,0
"Tprgl","TPRG1L","ortholog_one2one",100,100,1
"Ptpn13","PTPN13","ortholog_one2one",100,99.42,1
"Nipsnap1","NIPSNAP1","ortholog_one2one",100,100,1
"Csmd1","CSMD1","ortholog_one2one",100,99.99,1
"Sac3d1","SAC3D1","ortholog_one2one",100,100,1
"Prpsap1","PRPSAP1","ortholog_one2one",100,100,1
"Chil1","CHI3L1","ortholog_one2one",100,100,1
"Dennd3","DENND3","ortholog_one2one",100,100,1
"Iqca1l","IQCA1L","ortholog_one2one",100,100,1
"Uqcrc2","UQCRC2","ortholog_one2one",50,100,1
"Adora2a","ADORA2A","ortholog_one2one",25,100,1
"Itgad","ITGAD","ortholog_one2one",100,98.96,1
"Tssk6","TSSK6","ortholog_one2one",100,100,1
"Yjefn3","AC011448.1","ortholog_one2one",100,85.97,0
"Ndufa13","NDUFA13","ortholog_one2one",100,87.17,1
"Rad17","RAD17","ortholog_one2one",100,100,1
"Gabrb2","GABRB2","ortholog_one2one",100,100,1
"Gucd1","GUCD1","ortholog_one2one",100,100,1
"Stard3","STARD3","ortholog_one2one",100,100,1
"Lonrf2","LONRF2","ortholog_one2one",100,100,1
"Rbm11","RBM11","ortholog_one2one",50,95.95,1
"Dcaf5","DCAF5","ortholog_one2one",100,100,1
"Wnt2","WNT2","ortholog_one2one",75,100,1
"Zfp9","ZNF25","ortholog_one2one",0,100,1
"Kif5c","KIF5C","ortholog_one2one",100,100,1
"Msmb","MSMB","ortholog_one2one",50,76.01,0
"Osgepl1","OSGEPL1","ortholog_one2one",75,99.96,1
"Rassf5","RASSF5","ortholog_one2one",100,100,1
"Zfp819","ZNF510","ortholog_one2one",0,0,0
"Pigp","PIGP","ortholog_one2one",100,100,1
"Pdzd9","PDZD9","ortholog_one2one",50,100,1
"Plppr1","PLPPR1","ortholog_one2one",100,100,1
"Ptn","PTN","ortholog_one2one",100,100,1
"Ccdc93","CCDC93","ortholog_one2one",100,100,1
"Fbln7","FBLN7","ortholog_one2one",100,100,1
"AL607142.1","AC119676.1","ortholog_one2one",100,100,1
"Hivep3","HIVEP3","ortholog_one2one",100,100,1
"Ceacam18","CEACAM18","ortholog_one2one",25,100,1
"Gria3","GRIA3","ortholog_one2one",100,100,1
"Wwp1","WWP1","ortholog_one2one",100,100,1
"Lrrc10","LRRC10","ortholog_one2one",100,100,1
"Rfc4","RFC4","ortholog_one2one",50,100,1
"Sema4a","SEMA4A","ortholog_one2one",100,100,1
"Arhgap26","ARHGAP26","ortholog_one2one",100,100,1
"Fahd1","FAHD1","ortholog_one2one",100,93.45,1
"Nolc1","NOLC1","ortholog_one2one",100,99.72,1
"Zeb1","ZEB1","ortholog_one2one",50,100,1
"Hagh","HAGH","ortholog_one2one",100,100,1
"Zc3h8","ZC3H8","ortholog_one2one",100,99.82,1
"Casp3","CASP3","ortholog_one2one",100,100,1
"Dhx34","DHX34","ortholog_one2one",100,100,1
"Traf6","TRAF6","ortholog_one2one",100,100,1
"Rab30","RAB30","ortholog_one2one",100,100,1
"Fermt2","FERMT2","ortholog_one2one",100,100,1
"Cox6a2","COX6A2","ortholog_one2one",100,100,1
"Gm28778","ORMDL1","ortholog_one2one",100,81.53,1
"Upb1","UPB1","ortholog_one2one",100,100,1
"Nlrp6","NLRP6","ortholog_one2one",100,100,1
"Abcc1","ABCC1","ortholog_one2one",50,99.71,1
"Bst1","BST1","ortholog_one2one",100,98.38,1
"Tfpi2","TFPI2","ortholog_one2one",100,100,1
"Ankub1","ANKUB1","ortholog_one2one",100,100,0
"Pkmyt1","PKMYT1","ortholog_one2one",100,97.28,1
"Ypel2","YPEL2","ortholog_one2one",100,100,1
"4921536K21Rik","C5orf52","ortholog_one2one",0,95.74,0
"Gadd45b","GADD45B","ortholog_one2one",100,100,1
"Ccdc43","CCDC43","ortholog_one2one",100,100,1
"Wnt10a","WNT10A","ortholog_one2one",100,100,1
"Chchd7","CHCHD7","ortholog_one2one",100,100,1
"Blnk","BLNK","ortholog_one2one",100,100,1
"Wnt5a","WNT5A","ortholog_one2one",75,100,1
"Tnnt1","TNNT1","ortholog_one2one",100,100,1
"Slc13a2","SLC13A2","ortholog_one2one",100,100,1
"Myb","MYB","ortholog_one2one",100,100,1
"Paqr4","PAQR4","ortholog_one2one",100,100,1
"Upk1a","UPK1A","ortholog_one2one",100,95.02,1
"Mavs","MAVS","ortholog_one2one",100,100,0
"Cntnap2","CNTNAP2","ortholog_one2one",100,100,1
"Csrp2","CSRP2","ortholog_one2one",100,100,1
"Abcc8","ABCC8","ortholog_one2one",50,99.95,1
"Ttc3","TTC3","ortholog_one2one",100,100,1
"Rmdn1","RMDN1","ortholog_one2one",100,100,1
"Lmntd1","LMNTD1","ortholog_one2one",100,99.51,1
"Rab3b","RAB3B","ortholog_one2one",75,100,1
"Cox6b1","COX6B1","ortholog_one2one",100,100,1
"Axin1","AXIN1","ortholog_one2one",100,99.58,1
"Fgl1","FGL1","ortholog_one2one",100,100,1
"Rab44","RAB44","ortholog_one2one",100,99,0
"Bco1","BCO1","ortholog_one2one",100,96.89,1
"Zc3h6","ZC3H6","ortholog_one2one",100,100,1
"Zfp28","ZFP28","ortholog_one2one",50,100,1
"Lsm6","LSM6","ortholog_one2one",100,100,1
"Etv2","ETV2","ortholog_one2one",100,100,1
"Fgf1","FGF1","ortholog_one2one",100,100,1
"Mdh2","MDH2","ortholog_one2one",100,100,1
"Bace2","BACE2","ortholog_one2one",50,100,1
"Tcf23","TCF23","ortholog_one2one",100,100,1
"Kremen2","KREMEN2","ortholog_one2one",75,100,1
"Nhlrc3","NHLRC3","ortholog_one2one",100,100,1
"Fam91a1","FAM91A1","ortholog_one2one",100,100,1
"Supv3l1","SUPV3L1","ortholog_one2one",100,100,1
"Grsf1","GRSF1","ortholog_one2one",100,100,1
"Prox2","PROX2","ortholog_one2one",100,100,1
"Bfsp1","BFSP1","ortholog_one2one",100,100,1
"Flywch1","FLYWCH1","ortholog_one2one",75,95.97,1
"Zmat2","ZMAT2","ortholog_one2one",100,100,1
"Exd2","EXD2","ortholog_one2one",100,98.49,1
"Efl1","EFL1","ortholog_one2one",75,100,1
"Rac3","RAC3","ortholog_one2one",100,100,1
"Bok","BOK","ortholog_one2one",100,100,1
"Porcn","PORCN","ortholog_one2one",100,100,1
"Hnrnpul1","HNRNPUL1","ortholog_one2one",75,100,1
"Rbp7","RBP7","ortholog_one2one",100,100,1
"Rhov","RHOV","ortholog_one2one",100,100,1
"Tprn","TPRN","ortholog_one2one",100,100,1
"C5ar2","C5AR2","ortholog_one2one",100,98.99,1
"Fbln2","FBLN2","ortholog_one2one",100,100,1
"Sptan1","SPTAN1","ortholog_one2one",100,100,1
"Hspa1l","HSPA1L","ortholog_one2one",100,100,1
"Tas2r137","TAS2R3","ortholog_one2one",100,100,1
"Mosmo","MOSMO","ortholog_one2one",100,100,1
"Gan","GAN","ortholog_one2one",100,100,1
"Aqp3","AQP3","ortholog_one2one",75,100,1
"Klhl29","KLHL29","ortholog_one2one",100,100,1
"Tas2r108","TAS2R4","ortholog_one2one",75,100,1
"Mpp2","MPP2","ortholog_one2one",100,98.73,1
"Kdm1a","KDM1A","ortholog_one2one",100,100,1
"Cfap44","CFAP44","ortholog_one2one",100,100,1
"Prdm10","PRDM10","ortholog_one2one",100,99.67,1
"Galnt16","GALNT16","ortholog_one2one",100,100,1
"Ddias","DDIAS","ortholog_one2one",100,98.56,0
"Jup","JUP","ortholog_one2one",100,99.99,1
"Snx15","SNX15","ortholog_one2one",100,100,1
"Vamp4","VAMP4","ortholog_one2one",100,100,1
"Csn1s1","CSN1S1","ortholog_one2one",100,94.72,0
"Adgrf5","ADGRF5","ortholog_one2one",100,100,1
"Fxr1","FXR1","ortholog_one2one",100,100,1
"Hdac9","HDAC9","ortholog_one2one",100,100,1
"Baz2a","BAZ2A","ortholog_one2one",100,100,1
"Hk3","HK3","ortholog_one2one",100,100,1
"Fam135a","FAM135A","ortholog_one2one",100,100,1
"Slc10a6","SLC10A6","ortholog_one2one",100,100,1
"Tcap","TCAP","ortholog_one2one",100,100,1
"Cryba4","CRYBA4","ortholog_one2one",100,100,1
"Igfals","IGFALS","ortholog_one2one",75,100,1
"Angptl1","ANGPTL1","ortholog_one2one",100,100,1
"C5ar1","C5AR1","ortholog_one2one",100,100,1
"Cops7b","COPS7B","ortholog_one2one",100,100,1
"Abhd12","ABHD12","ortholog_one2one",100,98.24,1
"Ano2","ANO2","ortholog_one2one",100,100,1
"Pclo","PCLO","ortholog_one2one",100,99.76,1
"Hipk3","HIPK3","ortholog_one2one",100,100,1
"Gngt1","GNGT1","ortholog_one2one",100,100,1
"Upp1","UPP1","ortholog_one2one",100,100,1
"Ralgps2","RALGPS2","ortholog_one2one",100,100,1
"Dock1","DOCK1","ortholog_one2one",100,100,1
"Ankib1","ANKIB1","ortholog_one2one",100,100,1
"Pdia2","PDIA2","ortholog_one2one",100,100,1
"Haghl","HAGHL","ortholog_one2one",100,100,1
"Psmb1","PSMB1","ortholog_one2one",100,100,1
"Phc2","PHC2","ortholog_one2one",100,100,1
"Prima1","PRIMA1","ortholog_one2one",100,100,1
"Pcdhgb7","PCDHGB7","ortholog_one2one",100,100,1
"Gatad2a","GATAD2A","ortholog_one2one",100,100,1
"Pcdhgc3","PCDHGC3","ortholog_one2one",100,100,1
"Rgs11","RGS11","ortholog_one2one",100,100,1
"Slc7a14","SLC7A14","ortholog_one2one",50,100,1
"Olfr1420","OR10V1","ortholog_one2one",100,100,1
"Gng7","GNG7","ortholog_one2one",100,100,1
"Atp10b","ATP10B","ortholog_one2one",100,100,1
"AC160405.1","AP001054.1","ortholog_one2one",100,100,1
"Agpat3","AGPAT3","ortholog_one2one",100,100,1
"Dstn","DSTN","ortholog_one2one",100,100,1
"Asz1","ASZ1","ortholog_one2one",100,100,1
"Fam89b","FAM89B","ortholog_one2one",100,100,1
"Tent5c","TENT5C","ortholog_one2one",100,100,1
"Inafm1","INAFM1","ortholog_one2one",100,100,1
"Gng11","GNG11","ortholog_one2one",75,100,1
"Cdo1","CDO1","ortholog_one2one",100,100,1
"Cfap70","CFAP70","ortholog_one2one",100,99.24,1
"Dsc1","DSC1","ortholog_one2one",100,100,1
"Osgep","OSGEP","ortholog_one2one",100,100,1
"Chpf2","CHPF2","ortholog_one2one",100,100,1
"Arhgdig","ARHGDIG","ortholog_one2one",100,100,1
"Tnfsf12","TNFSF12","ortholog_one2one",75,100,1
"Patl1","PATL1","ortholog_one2one",100,100,1
"Smarcd3","SMARCD3","ortholog_one2one",100,100,1
"Pnmt","PNMT","ortholog_one2one",100,100,1
"Pcdhga5","PCDHGA5","ortholog_one2one",100,100,1
"Leng1","LENG1","ortholog_one2one",100,100,1
"Pcdha12","PCDHA13","ortholog_one2one",100,100,1
"Tmc4","TMC4","ortholog_one2one",100,99.67,1
"Pgghg","PGGHG","ortholog_one2one",75,100,1
"Dcxr","DCXR","ortholog_one2one",100,100,1
"Spag1","SPAG1","ortholog_one2one",100,100,1
"Dand5","DAND5","ortholog_one2one",75,100,1
"Ciao3","CIAO3","ortholog_one2one",100,100,1
"Lrtm1","LRTM1","ortholog_one2one",100,100,1
"Tnfsf13","TNFSF13","ortholog_one2one",100,100,1
"Pwwp3a","PWWP3A","ortholog_one2one",100,90.03,1
"Gadd45gip1","GADD45GIP1","ortholog_one2one",100,100,1
"Rsph1","RSPH1","ortholog_one2one",100,100,1
"Rad23a","RAD23A","ortholog_one2one",100,100,1
"Vipas39","VIPAS39","ortholog_one2one",100,100,1
"Aco1","ACO1","ortholog_one2one",100,100,1
"Luzp1","LUZP1","ortholog_one2one",100,100,1
"Cacna2d3","CACNA2D3","ortholog_one2one",100,100,1
"Pcdha1","PCDHA1","ortholog_one2one",100,100,1
"Dnajc19","DNAJC19","ortholog_one2one",100,81.12,1
"Ankrd66","ANKRD66","ortholog_one2one",100,92.15,1
"Tnfsfm13","TNFSF12-TNFSF13","ortholog_one2one",100,100,1
"Insyn2a","INSYN2A","ortholog_one2one",100,100,1
"Lrrn1","LRRN1","ortholog_one2one",100,100,1
"Pcdhga11","PCDHGA11","ortholog_one2one",100,100,1
"Arl2","ARL2","ortholog_one2one",100,100,1
"Scn3b","SCN3B","ortholog_one2one",100,100,1
"Cnot3","CNOT3","ortholog_one2one",100,100,1
"Vps18","VPS18","ortholog_one2one",100,100,1
"Mmp3","MMP3","ortholog_one2one",100,100,1
"Hepacam","HEPACAM","ortholog_one2one",100,100,1
"Cdk5r2","CDK5R2","ortholog_one2one",100,100,1
"Unc5a","UNC5A","ortholog_one2one",100,100,1
"Batf2","BATF2","ortholog_one2one",100,100,1
"Hps5","HPS5","ortholog_one2one",100,100,1
"Morn3","MORN3","ortholog_one2one",100,100,1
"Armc5","ARMC5","ortholog_one2one",100,100,1
"Prss37","PRSS37","ortholog_one2one",50,100,1
"Foxk1","FOXK1","ortholog_one2one",100,100,1
"Zfp397","ZNF397","ortholog_one2one",100,100,1
"Dusp18","DUSP18","ortholog_one2one",100,100,1
"Proser1","PROSER1","ortholog_one2one",100,100,1
"Ifitm5","IFITM5","ortholog_one2one",75,100,1
"Olfr461","OR9A1P","ortholog_one2one",0,100,1
"Haspin","HASPIN","ortholog_one2one",100,100,1
"Olfr460","OR9A4","ortholog_one2one",75,100,1
"Itgae","ITGAE","ortholog_one2one",100,100,1
"Pomc","POMC","ortholog_one2one",100,100,1
"Nmnat1","NMNAT1","ortholog_one2one",100,100,1
"Tspyl1","TSPYL1","ortholog_one2one",75,100,1
"Inpp5d","INPP5D","ortholog_one2one",100,100,1
"Pcdhb20","PCDHB14","ortholog_one2one",100,100,1
"Erfl","ERFL","ortholog_one2one",100,100,1
"Nmd3","NMD3","ortholog_one2one",100,98.21,1
"Thoc5","THOC5","ortholog_one2one",100,100,1
"Pcdhb3","PCDHB3","ortholog_one2one",100,100,1
"Slc22a23","SLC22A23","ortholog_one2one",100,100,1
"Relch","RELCH","ortholog_one2one",100,99.22,1
"Pcdhgc5","PCDHGC5","ortholog_one2one",100,100,1
"Cep131","CEP131","ortholog_one2one",100,100,1
"Irf4","IRF4","ortholog_one2one",75,100,1
"Stxbp2","STXBP2","ortholog_one2one",100,100,1
"4833420G17Rik","C5orf34","ortholog_one2one",100,100,1
"Sdr16c5","SDR16C5","ortholog_one2one",100,100,1
"Scarf2","SCARF2","ortholog_one2one",50,100,1
"Thap4","THAP4","ortholog_one2one",100,100,1
"Slc35e4","SLC35E4","ortholog_one2one",100,100,1
"Srrm3","SRRM3","ortholog_one2one",100,100,1
"Rundc3b","RUNDC3B","ortholog_one2one",100,98.53,1
"Yeats2","YEATS2","ortholog_one2one",100,100,1
"Sugct","SUGCT","ortholog_one2one",100,98.26,1
"Adam11","ADAM11","ortholog_one2one",100,100,1
"Mthfd1l","MTHFD1L","ortholog_one2one",100,100,1
"Ska1","SKA1","ortholog_one2one",100,100,1
"Atg4b","ATG4B","ortholog_one2one",100,100,1
"Kcnf1","KCNF1","ortholog_one2one",100,100,1
"Gramd1a","GRAMD1A","ortholog_one2one",100,100,1
"Baat","BAAT","ortholog_one2one",100,100,1
"Pde3a","PDE3A","ortholog_one2one",100,100,1
"Rars2","RARS2","ortholog_one2one",100,100,1
"Elovl3","ELOVL3","ortholog_one2one",100,100,1
"Atg12","ATG12","ortholog_one2one",100,100,1
"Pitx3","PITX3","ortholog_one2one",100,100,1
"Aopep","AOPEP","ortholog_one2one",100,100,1
"Osbp","OSBP","ortholog_one2one",100,100,1
"Alg6","ALG6","ortholog_one2one",100,100,1
"Catsper2","CATSPER2","ortholog_one2one",100,85.03,1
"Gins1","GINS1","ortholog_one2one",100,100,1
"Pcdhga6","PCDHGA6","ortholog_one2one",100,100,1
"Ahcyl2","AHCYL2","ortholog_one2one",100,100,1
"Pias2","PIAS2","ortholog_one2one",100,100,1
"Itih3","ITIH3","ortholog_one2one",100,100,1
"Ppp2r5c","PPP2R5C","ortholog_one2one",100,100,1
"Clec5a","CLEC5A","ortholog_one2one",50,100,1
"Gdpd1","GDPD1","ortholog_one2one",100,100,1
"Dhx29","DHX29","ortholog_one2one",100,100,1
"Pgap3","PGAP3","ortholog_one2one",100,100,1
"Mrpl50","MRPL50","ortholog_one2one",100,100,1
"Pla2g7","PLA2G7","ortholog_one2one",100,100,1
"Pcdhac2","PCDHAC2","ortholog_one2one",100,100,1
"Zfp189","ZNF189","ortholog_one2one",100,100,1
"Pdia3","PDIA3","ortholog_one2one",100,100,1
"Olfr1423","OR4D11","ortholog_one2one",100,100,1
"Ubqln3","UBQLN3","ortholog_one2one",100,100,1
"Stoml3","STOML3","ortholog_one2one",100,100,1
"Osbpl3","OSBPL3","ortholog_one2one",100,100,1
"Ubqlnl","UBQLNL","ortholog_one2one",100,100,0
"Sfxn3","SFXN3","ortholog_one2one",100,100,1
"Ap3s1","AP3S1","ortholog_one2one",100,100,1
"Pcdhb2","PCDHB2","ortholog_one2one",100,100,1
"Mybph","MYBPH","ortholog_one2one",100,100,1
"Atxn2l","ATXN2L","ortholog_one2one",75,100,1
"Bbox1","BBOX1","ortholog_one2one",100,100,1
"Fev","FEV","ortholog_one2one",100,100,1
"Slc7a13","SLC7A13","ortholog_one2one",75,100,1
"Tmem134","TMEM134","ortholog_one2one",100,100,1
"Stmn1","STMN1","ortholog_one2one",100,89.01,1
"Myoc","MYOC","ortholog_one2one",100,100,1
"Mtch2","MTCH2","ortholog_one2one",100,100,1
"Adora1","ADORA1","ortholog_one2one",100,100,1
"Pcdha2","PCDHA2","ortholog_one2one",100,100,1
"Atp6v0d2","ATP6V0D2","ortholog_one2one",50,100,1
"P3h4","P3H4","ortholog_one2one",100,100,1
"Dll4","DLL4","ortholog_one2one",100,100,1
"Stard3nl","STARD3NL","ortholog_one2one",100,97.26,1
"Arfgef3","ARFGEF3","ortholog_one2one",100,100,1
"Pxdc1","PXDC1","ortholog_one2one",100,100,1
"Rabac1","RABAC1","ortholog_one2one",100,100,1
"Stk26","STK26","ortholog_one2one",100,99.45,1
"Chst10","CHST10","ortholog_one2one",100,100,1
"Brsk2","BRSK2","ortholog_one2one",100,99.58,1
"Fibin","FIBIN","ortholog_one2one",100,99.72,1
"Rrbp1","RRBP1","ortholog_one2one",100,99.78,1
"Slc25a2","SLC25A2","ortholog_one2one",100,100,1
"Pcdha9","PCDHA10","ortholog_one2one",50,100,1
"Prps1l1","PRPS1L1","ortholog_one2one",100,100,1
"Frem2","FREM2","ortholog_one2one",100,100,1
"Tas2r138","TAS2R38","ortholog_one2one",100,100,1
"Hspa13","HSPA13","ortholog_one2one",100,100,1
"Pfkfb3","PFKFB3","ortholog_one2one",100,95.61,1
"Ppm1g","PPM1G","ortholog_one2one",100,100,1
"Aldob","ALDOB","ortholog_one2one",100,100,1
"Frmd7","FRMD7","ortholog_one2one",100,100,1
"Cxxc1","CXXC1","ortholog_one2one",100,100,1
"Pcdhgb4","PCDHGB4","ortholog_one2one",100,100,1
"Fhdc1","FHDC1","ortholog_one2one",100,100,1
"Nppc","NPPC","ortholog_one2one",75,100,1
"Nol6","NOL6","ortholog_one2one",50,100,1
"Edn2","EDN2","ortholog_one2one",75,100,1
"Axl","AXL","ortholog_one2one",100,100,1
"Angpt2","ANGPT2","ortholog_one2one",100,100,1
"Tspan18","TSPAN18","ortholog_one2one",100,99.92,1
"Lrrc51","LRTOMT","ortholog_one2one",100,100,1
"Klhl3","KLHL3","ortholog_one2one",75,100,1
"Lzic","LZIC","ortholog_one2one",100,100,1
"Fam181a","FAM181A","ortholog_one2one",100,97.2,1
"Pcdhb16","PCDHB13","ortholog_one2one",50,85.54,1
"Foxo6","FOXO6","ortholog_one2one",100,99.12,1
